"","site","plot_number","treatment","normalized_par","soil_moisture","cover_percent","year","mafacover"
"1","1","1","none",0.0435356200527705,15.5666666666667,40,2019,70
"2","1","2","full",0.402466731580656,26.7666666666667,43,2019,25
"3","1","3","full",0.858486867894943,22.5666666666667,27,2019,23
"4","1","4","half",0.308650519031142,18.8666666666667,30,2019,43
"5","1","5","half",0.266559485530547,23.7,57,2019,35
"6","1","6","none",0.149702823179792,18.6333333333333,40,2019,73
"7","1","7","none",0.279425837320574,15.1333333333333,35,2019,60
"8","1","8","half",0.164304864036768,21.3,40,2019,25
"9","1","9","full",0.458100558659218,20.0666666666667,44,2019,38
"10","1","10","half",0.337418889689978,24.6666666666667,32,2019,40
"11","1","11","none",0.588360539389638,17,8,2019,40
"12","1","12","full",0.568015925680159,26.6666666666667,21,2019,40
"13","1","13","full",0.428717250765566,27.7333333333333,46,2019,1
"14","1","14","none",0.254975978037062,22.3333333333333,23,2019,40
"15","1","15","half",0.269605930550137,24.9333333333333,20,2019,45
"16","1","16","full",0.666906993511175,26.4,43,2019,35
"17","1","17","half",0.0306772908366534,24.8,41,2019,60
"18","1","18","none",0.442329227323628,20.7666666666667,55,2019,45
"19","2","19","full",0.236346215266688,13.7,91,2019,0
"20","2","20","none",0.429455848810688,12.1666666666667,42,2019,42
"21","2","21","half",0.152547671147233,18.1,17,2019,65
"22","2","22","full",0.31968992248062,18.7333333333333,41,2019,5
"23","2","23","half",0.230769230769231,20.5333333333333,23,2019,35
"24","2","24","none",0.0978786751023446,16.4666666666667,41,2019,55
"25","2","25","none",0.535417996171027,14.9666666666667,38,2019,10
"26","2","26","half",0.615457413249211,15.3333333333333,42,2019,16
"27","2","27","full",0.626717032967033,21.5333333333333,60,2019,3
"28","2","28","half",0.645569620253165,14.3,16,2019,0
"29","2","29","none",0.419876982842344,13.2,46,2019,15
"30","2","30","full",0.813765182186235,14.1666666666667,22,2019,3
"31","2","31","none",0.435391470401018,13.1,55,2019,30
"32","2","32","half",0.73121387283237,14.2666666666667,35,2019,20
"33","2","33","full",0.808377308707124,15.1,72,2019,0
"34","2","34","half",0.676636756397474,15.4333333333333,33,2019,15
"35","2","35","full",0.44491943439658,18.1333333333333,32,2019,15
"36","2","36","none",0.283966516419833,15.0333333333333,61,2019,0
