date,standtype,site,plot,removal,MAFA_density,individual_number,stem_number,stemcircumfrance_cm_at_ground_level,notes,,,,,,
19-Mar-20,ENH,1,1,no,5,1,1,14.1,,,,,,,
19-Mar-20,ENH,1,1,no,,2,1,26,,,,,,,
19-Mar-20,ENH,1,1,no,,3,1,11.1,,,,,,,
19-Mar-20,ENH,1,1,no,,4,1,8.5,,,,,,,
19-Mar-20,ENH,1,1,no,,5,1,26.4,,,,,,,
19-Mar-20,ENH,1,2,full,0,,,,,,,,,,
19-Mar-20,ENH,1,3,full,0,,,,,,,,,,
19-Mar-20,ENH,1,4,half,7,1,1,21.2,"6 single stemed individuals and one multistemed individual (6 stems = 28, 14, 7.5, 9.2, 5.9, 13.4)",,,,,,
19-Mar-20,ENH,1,4,half,,2,1,4,,,,,,,
19-Mar-20,ENH,1,4,half,,3,1,3.4,,,,,,,
19-Mar-20,ENH,1,4,half,,4,1,28,,,,,,,
19-Mar-20,ENH,1,4,half,,4,2,14,,,,,,,
19-Mar-20,ENH,1,4,half,,4,3,7.5,,,,,,,
19-Mar-20,ENH,1,4,half,,4,4,9.2,,,,,,,
19-Mar-20,ENH,1,4,half,,4,5,5.9,,,,,,,
19-Mar-20,ENH,1,4,half,,4,6,13.4,,,,,,,
19-Mar-20,ENH,1,4,half,,5,1,5.5,,,,,,,
19-Mar-20,ENH,1,4,half,,6,1,6.5,,,,,,,
19-Mar-20,ENH,1,4,half,,7,1,4,,,,,,,
19-Mar-20,ENH,1,5,half,2,1,1,15,,,,,,,
19-Mar-20,ENH,1,5,half,,2,1,22.8,,,,,,,
19-Mar-20,ENH,1,6,no,3,1,1,26.1,,,,,,,
19-Mar-20,ENH,1,6,no,,2,1,11.3,,,,,,,
19-Mar-20,ENH,1,6,no,,3,1,28.9,,,,,,,
19-Mar-20,ENH,1,7,no,7,1,1,11,suspected gopher activity in this plot belowground,,,,,,
19-Mar-20,ENH,1,7,no,,2,1,9.5,,,,,,,
19-Mar-20,ENH,1,7,no,,3,1,9.1,,,,,,,
19-Mar-20,ENH,1,7,no,,4,1,18.6,,,,,,,
19-Mar-20,ENH,1,7,no,,5,1,12,,,,,,,
19-Mar-20,ENH,1,7,no,,6,1,5,,,,,,,
19-Mar-20,ENH,1,7,no,,7,1,13.1,,,,,,,
19-Mar-20,ENH,1,8,half,4,1,1,10,,,,,,,
19-Mar-20,ENH,1,8,half,,2,1,5.6,,,,,,,
19-Mar-20,ENH,1,8,half,,3,1,9.7,,,,,,,
19-Mar-20,ENH,1,8,half,,4,1,19.35,,,,,,,
19-Mar-20,ENH,1,9,full,0,,,,,,,,,,
19-Mar-20,ENH,1,10,half,4,1,1,10.7,,,,,,,
19-Mar-20,ENH,1,10,half,,2,1,13.7,,,,,,,
19-Mar-20,ENH,1,10,half,,3,1,19.5,,,,,,,
19-Mar-20,ENH,1,10,half,,4,1,8.6,,,,,,,
19-Mar-20,ENH,1,11,no,12,1,1,13.5,,,,,,,
19-Mar-20,ENH,1,11,no,,2,1,9,,,,,,,
19-Mar-20,ENH,1,11,no,,3,1,8.3,,,,,,,
19-Mar-20,ENH,1,11,no,,4,1,12.5,,,,,,,
19-Mar-20,ENH,1,11,no,,5,1,10,,,,,,,
19-Mar-20,ENH,1,11,no,,6,1,18,,,,,,,
19-Mar-20,ENH,1,11,no,,7,1,8.3,,,,,,,
19-Mar-20,ENH,1,11,no,,8,1,4.3,,,,,,,
19-Mar-20,ENH,1,11,no,,9,1,7,,,,,,,
19-Mar-20,ENH,1,11,no,,10,1,16.5,,,,,,,
19-Mar-20,ENH,1,11,no,,11,1,8,,,,,,,
19-Mar-20,ENH,1,11,no,,12,1,17,,,,,,,
19-Mar-20,ENH,1,12,full,0,,,,,,,,,,
19-Mar-20,ENH,1,13,full,0,,,,,,,,,,
19-Mar-20,ENH,1,14,no,73,1,1,3.5,random 10 stems measured to calculate average stem circumferance,,,,,,
19-Mar-20,ENH,1,14,no,,2,1,7.6,,,,,,,
19-Mar-20,ENH,1,14,no,,3,1,7,,,,,,,
19-Mar-20,ENH,1,14,no,,4,1,4.3,,,,,,,
19-Mar-20,ENH,1,14,no,,5,1,3.8,,,,,,,
19-Mar-20,ENH,1,14,no,,6,1,4,,,,,,,
19-Mar-20,ENH,1,14,no,,7,1,5.8,,,,,,,
19-Mar-20,ENH,1,14,no,,8,1,3.3,,,,,,,
19-Mar-20,ENH,1,14,no,,9,1,3,,,,,,,
19-Mar-20,ENH,1,14,no,,10,1,4,,,,,,,
19-Mar-20,ENH,1,15,half,21,1,1,2.9,random 12 stems measured to calculate average stem circumferance,,,,,,
19-Mar-20,ENH,1,15,half,,2,1,6.5,,,,,,,
19-Mar-20,ENH,1,15,half,,3,1,6,,,,,,,
19-Mar-20,ENH,1,15,half,,4,1,7,,,,,,,
19-Mar-20,ENH,1,15,half,,5,1,4,,,,,,,
19-Mar-20,ENH,1,15,half,,6,1,6.3,,,,,,,
19-Mar-20,ENH,1,15,half,,7,1,3.8,,,,,,,
19-Mar-20,ENH,1,15,half,,8,1,9.8,,,,,,,
19-Mar-20,ENH,1,15,half,,9,1,8.8,,,,,,,
19-Mar-20,ENH,1,15,half,,10,1,13,,,,,,,
19-Mar-20,ENH,1,15,half,,11,1,3.5,,,,,,,
19-Mar-20,ENH,1,15,half,,12,1,6,,,,,,,
19-Mar-20,ENH,1,16,full,0,,,,,,,,,,
19-Mar-20,ENH,1,17,half,55,1,1,3,"random 10 stems measured to calculate average stem circumferance, lots of small stems",,,,,,
19-Mar-20,ENH,1,17,half,,2,1,3,,,,,,,
19-Mar-20,ENH,1,17,half,,3,1,3.6,,,,,,,
19-Mar-20,ENH,1,17,half,,4,1,3.6,,,,,,,
19-Mar-20,ENH,1,17,half,,5,1,6.4,,,,,,,
19-Mar-20,ENH,1,17,half,,6,1,2.9,,,,,,,
19-Mar-20,ENH,1,17,half,,7,1,9.2,,,,,,,
19-Mar-20,ENH,1,17,half,,8,1,8.1,,,,,,,
19-Mar-20,ENH,1,17,half,,9,1,4,,,,,,,
19-Mar-20,ENH,1,17,half,,10,1,3,,,,,,,
19-Mar-20,ENH,1,18,no,35,1,1,9.6,"random 10 stems measured to calculate average stem circumferance, bigger stems",,,,,,
19-Mar-20,ENH,1,18,no,,2,1,6.2,,,,,,,
19-Mar-20,ENH,1,18,no,,3,1,10.8,,,,,,,
19-Mar-20,ENH,1,18,no,,4,1,3.4,,,,,,,
19-Mar-20,ENH,1,18,no,,5,1,5.6,,,,,,,
19-Mar-20,ENH,1,18,no,,6,1,7.6,,,,,,,
19-Mar-20,ENH,1,18,no,,7,1,10.1,,,,,,,
19-Mar-20,ENH,1,18,no,,8,1,7.2,,,,,,,
19-Mar-20,ENH,1,18,no,,9,1,7.2,,,,,,,
19-Mar-20,ENH,1,18,no,,10,1,10.8,,,,,,,
19-Mar-20,ENH,2,19,full,0,,,,,,,,,,
19-Mar-20,ENH,2,20,no,11,1,1,3.7,,,,,,,
19-Mar-20,ENH,2,20,no,,2,1,2.8,,,,,,,
19-Mar-20,ENH,2,20,no,,3,1,4.7,,,,,,,
19-Mar-20,ENH,2,20,no,,4,1,5.4,,,,,,,
19-Mar-20,ENH,2,20,no,,5,1,7.3,,,,,,,
19-Mar-20,ENH,2,20,no,,6,1,5.3,,,,,,,
19-Mar-20,ENH,2,20,no,,7,1,5.8,,,,,,,
19-Mar-20,ENH,2,20,no,,8,1,17.4,,,,,,,
19-Mar-20,ENH,2,20,no,,9,1,4.8,,,,,,,
19-Mar-20,ENH,2,20,no,,10,1,19.2,,,,,,,
19-Mar-20,ENH,2,20,no,,11,1,8.7,,,,,,,
19-Mar-20,ENH,2,21,half,15,1,1,9,"all single stemed individuals, one multistemed (n = 3 stems) individual (10.1, 9.6, 8.2)",,,,,,
19-Mar-20,ENH,2,21,half,,2,1,3.8,,,,,,,
19-Mar-20,ENH,2,21,half,,3,1,4.5,,,,,,,
19-Mar-20,ENH,2,21,half,,4,1,9.7,,,,,,,
19-Mar-20,ENH,2,21,half,,5,1,10.1,,,,,,,
19-Mar-20,ENH,2,21,half,,5,2,9.6,,,,,,,
19-Mar-20,ENH,2,21,half,,5,3,8.2,,,,,,,
19-Mar-20,ENH,2,21,half,,6,1,5.2,,,,,,,
19-Mar-20,ENH,2,21,half,,7,1,12.5,,,,,,,
19-Mar-20,ENH,2,21,half,,8,1,8.2,,,,,,,
19-Mar-20,ENH,2,21,half,,9,1,2.7,,,,,,,
19-Mar-20,ENH,2,21,half,,10,1,8.1,,,,,,,
19-Mar-20,ENH,2,21,half,,11,1,3.9,,,,,,,
19-Mar-20,ENH,2,21,half,,12,1,10.1,,,,,,,
19-Mar-20,ENH,2,22,full,0,,,,,,,,,,
19-Mar-20,ENH,2,23,half,9,1,1,13.4,,,,,,,
19-Mar-20,ENH,2,23,half,,2,1,7.2,,,,,,,
19-Mar-20,ENH,2,23,half,,3,1,5.9,,,,,,,
19-Mar-20,ENH,2,23,half,,4,1,4.5,,,,,,,
19-Mar-20,ENH,2,23,half,,5,1,12.5,,,,,,,
19-Mar-20,ENH,2,23,half,,6,1,20.1,,,,,,,
19-Mar-20,ENH,2,23,half,,7,1,6.1,,,,,,,
19-Mar-20,ENH,2,23,half,,8,1,8,,,,,,,
19-Mar-20,ENH,2,23,half,,9,1,5.6,,,,,,,
19-Mar-20,ENH,2,24,no,7,,,11,"Not sure which are the 4 MAFA individuals, my guess is 11.0, 11.0, 5.3, and (3.5+...+4.8)",,,,,,
19-Mar-20,ENH,2,24,no,,,,11,"one plant with 5 stems: 5.0, 3.1, 4.5",,,,,,
