Date,Timestamp,ID,Device Name,Nutrient,Moisture,Temperature,Medium,Nutrient min,Nutrient max,Moisture min,Moisture max,Note
4/3/2023,04:01.0,6700,Moeller lab pulse,0,8,25.2,Mixed medium,0,15,0,100,saap-4
4/3/2023,03:47.0,6699,Moeller lab pulse,0,8,24.4,Mixed medium,0,15,0,100,saap-2
4/3/2023,03:28.0,6698,Moeller lab pulse,0,7,23.5,Mixed medium,0,15,0,100,saap-1
3/30/2023,58:05.0,6697,Moeller lab pulse,0,7,26,Mixed medium,0,15,0,100,saap-5
3/30/2023,57:52.0,6696,Moeller lab pulse,0,9,25.7,Mixed medium,0,15,0,100,saap-4
3/30/2023,57:43.0,6695,Moeller lab pulse,0,7,25.7,Mixed medium,0,15,0,100,saap-3
3/30/2023,57:33.0,6694,Moeller lab pulse,0,9,25.2,Mixed medium,0,15,0,100,saap-2
3/30/2023,57:20.0,6693,Moeller lab pulse,0,8,24.4,Mixed medium,0,15,0,100,saap-1
3/29/2023,24:43.0,6692,Moeller lab pulse,0,7,26.6,Mixed medium,0,15,0,100,saap-5
3/29/2023,24:35.0,6691,Moeller lab pulse,0.96,11,26.3,Mixed medium,0,15,0,100,saap-4
3/29/2023,24:25.0,6690,Moeller lab pulse,0,7,25.8,Mixed medium,0,15,0,100,saap-3
3/29/2023,24:12.0,6689,Moeller lab pulse,0,10,25.4,Mixed medium,0,15,0,100,saap-2
3/29/2023,23:52.0,6688,Moeller lab pulse,0,8,24.5,Mixed medium,0,15,0,100,saap-1
3/28/2023,51:01.0,6687,Moeller lab pulse,0,7,26.1,Mixed medium,0,15,0,100,saap-5
3/28/2023,50:50.0,6686,Moeller lab pulse,0,10,25.9,Mixed medium,0,15,0,100,saap-4
3/28/2023,50:37.0,6685,Moeller lab pulse,0,8,25.6,Mixed medium,0,15,0,100,saap-3
3/28/2023,50:26.0,6684,Moeller lab pulse,0,9,25.6,Mixed medium,0,15,0,100,saap-2
3/28/2023,50:07.0,6683,Moeller lab pulse,0,9,24.7,Mixed medium,0,15,0,100,saap-1
3/24/2023,44:10.0,6677,Moeller lab pulse,1.07,11,24.1,Mixed medium,0,15,0,100,saap-1
3/24/2023,55:29.0,6681,Moeller lab pulse,0,9,26.3,Mixed medium,0,15,0,100,saap-5
3/24/2023,55:20.0,6680,Moeller lab pulse,1.09,12,25.8,Mixed medium,0,15,0,100,saap-4
3/24/2023,55:10.0,6679,Moeller lab pulse,0,8,25.5,Mixed medium,0,15,0,100,saap-3
3/24/2023,54:56.0,6678,Moeller lab pulse,1.06,12,25,Mixed medium,0,15,0,100,saap-2
3/21/2023,27:50.0,6675,Moeller lab pulse,1.1,10,26.4,Mixed medium,0,15,0,100,saap-5
3/21/2023,27:36.0,6674,Moeller lab pulse,0.97,16,25.8,Mixed medium,0,15,0,100,saap-4
3/21/2023,27:25.0,6673,Moeller lab pulse,1.13,11,25.5,Mixed medium,0,15,0,100,saap-3
3/21/2023,27:13.0,6672,Moeller lab pulse,1.07,14,25.3,Mixed medium,0,15,0,100,saap-2
3/21/2023,26:59.0,6671,Moeller lab pulse,1.02,13,24.3,Mixed medium,0,15,0,100,saap-1
3/20/2023,06:21.0,6670,Moeller lab pulse,1.06,11,26.2,Mixed medium,0,15,0,100,saap 5
3/20/2023,06:05.0,6669,Moeller lab pulse,0.93,17,26.1,Mixed medium,0,15,0,100,saap 4
3/20/2023,05:52.0,6668,Moeller lab pulse,1.12,12,26,Mixed medium,0,15,0,100,saap 3
3/20/2023,05:40.0,6667,Moeller lab pulse,1.12,15,25.7,Mixed medium,0,15,0,100,saap 2
3/20/2023,05:27.0,6666,Moeller lab pulse,1.09,13,24.9,Mixed medium,0,15,0,100,saap 1
3/17/2023,33:16.0,6665,Moeller lab pulse,0.98,16,26,Mixed medium,0,15,0,100,saap 5
3/17/2023,32:56.0,6664,Moeller lab pulse,1.01,22,24.9,Mixed medium,0,15,0,100,saap 4
3/17/2023,32:24.0,6662,Moeller lab pulse,1.02,16,25.5,Mixed medium,0,15,0,100,saap 3
3/17/2023,32:12.0,6661,Moeller lab pulse,1.01,21,25,Mixed medium,0,15,0,100,saap 2
3/17/2023,31:53.0,6660,Moeller lab pulse,1.08,17,22.6,Mixed medium,0,15,0,100,saap 1
3/16/2023,03:33.0,6659,Moeller lab pulse,1.18,13,26.3,Mixed medium,0,15,0,100,saap 5
3/16/2023,03:25.0,6658,Moeller lab pulse,1.08,23,25.6,Mixed medium,0,15,0,100,saap 4
3/16/2023,03:16.0,6657,Moeller lab pulse,1.01,15,25.4,Mixed medium,0,15,0,100,saap 3
3/16/2023,03:06.0,6656,Moeller lab pulse,1,19,25.5,Mixed medium,0,15,0,100,saap 2
3/16/2023,02:57.0,6655,Moeller lab pulse,1.05,19,25,Mixed medium,0,15,0,100,saap 1
3/15/2023,56:47.0,6654,Moeller lab pulse,1.09,18,26,Mixed medium,0,15,0,100,saap 5
3/15/2023,56:37.0,6653,Moeller lab pulse,1.14,29,24.8,Mixed medium,0,15,0,100,saap 4
3/15/2023,56:27.0,6652,Moeller lab pulse,1.26,11,24.8,Mixed medium,0,15,0,100,saap 3
3/15/2023,56:14.0,6651,Moeller lab pulse,1.12,24,25,Mixed medium,0,15,0,100,saap 2
3/15/2023,56:03.0,6650,Moeller lab pulse,1.01,21,24.2,Mixed medium,0,15,0,100,saap 1
3/14/2023,28:23.0,6649,Moeller lab pulse,1.01,18,25.8,Mixed medium,0,15,0,100,saap-5
3/14/2023,28:12.0,6648,Moeller lab pulse,1.29,31,25.1,Mixed medium,0,15,0,100,saap 4
3/14/2023,28:04.0,6647,Moeller lab pulse,0.97,24,25,Mixed medium,0,15,0,100,saap 3
3/14/2023,27:53.0,6646,Moeller lab pulse,1.14,27,24.5,Mixed medium,0,15,0,100,saap 2
3/14/2023,27:41.0,6645,Moeller lab pulse,1.06,22,22.8,Mixed medium,0,15,0,100,saap 1
3/13/2023,35:14.0,6644,Moeller lab pulse,1.08,13,26.4,Mixed medium,0,15,0,100,saap 5
3/13/2023,35:04.0,6643,Moeller lab pulse,0.96,16,26.2,Mixed medium,0,15,0,100,saap 4
3/13/2023,34:55.0,6642,Moeller lab pulse,1.06,13,25.9,Mixed medium,0,15,0,100,saap 3
3/13/2023,34:44.0,6641,Moeller lab pulse,1.05,17,25.8,Mixed medium,0,15,0,100,saap 2
3/13/2023,34:26.0,6640,Moeller lab pulse,1.21,13,24.9,Mixed medium,0,15,0,100,saap 1
2/28/2023,42:20.0,6606,Moeller lab pulse,0,6,21,Mixed medium,0,15,0,100,saap-5
2/28/2023,55:17.0,6613,Moeller lab pulse,1.32,33,24.8,Mixed medium,0,15,0,100,saap-4
2/28/2023,55:04.0,6612,Moeller lab pulse,1.34,32,25.1,Mixed medium,0,15,0,100,saap-3
2/28/2023,54:44.0,6611,Moeller lab pulse,1.61,35,24.8,Mixed medium,0,15,0,100,saap-2
2/28/2023,54:26.0,6610,Moeller lab pulse,1.37,34,23.8,Mixed medium,0,15,0,100,saap-1
2/27/2023,40:38.0,6603,Moeller lab pulse,1.04,21,25.5,Mixed medium,0,15,0,100,saap-5
2/27/2023,40:29.0,6602,Moeller lab pulse,0.83,22,25.5,Mixed medium,0,15,0,100,saap-4
2/27/2023,40:20.0,6601,Moeller lab pulse,1.08,19,25.1,Mixed medium,0,15,0,100,saap-3
2/27/2023,40:10.0,6600,Moeller lab pulse,1.13,26,24.3,Mixed medium,0,15,0,100,saap-2
2/27/2023,39:56.0,6599,Moeller lab pulse,1,23,23.3,Mixed medium,0,15,0,100,saap-1
2/24/2023,58:31.0,6597,Moeller lab pulse,1.27,34,25.3,Mixed medium,0,15,0,100,saap-5
2/24/2023,58:17.0,6596,Moeller lab pulse,1.26,30,25.3,Mixed medium,0,15,0,100,saap-4
